Station_id,Borough
KNYBRONX14,Bronx
KNYLONGI10,Staten_island
KNYMIDDL23,MiddleBrogh
KNYNEWYO103,Manhatten
KNYBROOK41,Brook
KNYBROOK40,Brook
KNYBROOK54,Brook
KNYBROOK49,Brook
KNYBROOK51,Brook
KNYBROOK101,Brook
KNYBROOK103,Brook
KNYBROOK106,Brook
KNYBROOK109,Brook
KNYBROOK115,Brook
KNYBROOK121,Brook
KNYBROOK132,Brook
KNYBROOK134,Brook
KNYBROOK136,Brook
KNYBROOK138,Brook
KNYBROOK140,Brook
KNYBROOK142,Brook
KNYBROOK146,Brook
KNYBROOK152,Brook
KNYBROOK154,Brook
KNYBROOK156,Brook
KNYBROOK160,Brook
KNYBROOK164,Brook
KNYBROOK166,Brook
KNYBROOK170,Brook
KNYBROOK172,Brook
KNYBROOK174,Brook
KNYBROOK176,Brook
KNYBROOK178,Brook
KNYBROOK186,Brook
KNYBROOK194,Brook
KNYBROOK196,Brook
KNYBROOK200,Brook
KNYBROOK202,Brook
KNYBROOK204,Brook
KNYBROOK206,Brook
KNYBROOK208,Brook
KNYBROOK210,Brook
KNYBROOK214,Brook
KNYBROOK64,Brook
KNYBROOK65,Brook
KNYBROOK67,Brook
KNYBROOK70,Brook
KNYBROOK71,Brook
KNYBROOK74,Brook
KNYBROOK76,Brook
KNYBROOK78,Brook
KNYBROOK79,Brook
KNYBROOK83,Brook
KNYBROOK85,Brook
KNYBROOK88,Brook
KNYBROOK91,Brook
KNYBROOK95,Brook
KNYBROOK96,Brook
KNYBROOK97,Brook
KNYBROOK98,Brook
KNYBROOK99,Brook
KNYBROOK38,Brook
KNYBROOK55,Brook
KNYBROOK43,Brook
KNYBROOK56,Brook
MBLEA2,Brook
ME1296,Brook
ME1237,Brook
KNYSTATE14,Staten Island
KNYSTATE16,Staten Island
KNYSTATE19,Staten Island
KNYSTATE25,Staten Island
KNYSTATE11,Staten Island
KNYSTATE13,Staten Island
KNYSTATE9,Staten Island
MNP016,Staten Island
MBGNN4,Staten Island
MELWX5,Staten Island
M45JA1,Staten Island
MD7386,Staten Island
MGPNN6,Staten Island
MD6547,Staten Island
MD6550,Staten Island
